project_title,description,owner_name,department,status,priority,planned_budget,actual_spend,start_date,due_date,progress,latest_update
Leave Allocation,"Allocate leaves to all staff properly, disgard previous assignment rules",Ronald,Operations,At Risk,High,,46030.0,,,,"Operations | Admin/HR | Leave Allocation | Allocate leaves to all staff properly, disgard previous assignment rules | High | Overdue | Ronald | – | 46030.0 | 46034.0 | 5 | 161 | 1.0"
Leave Accrual,Accrual 1.75 annual leave policy,Ronald,Operations,At Risk,Medium,,46034.0,,,,Operations | Admin/HR | Leave Accrual | Accrual 1.75 annual leave policy | Medium | Overdue | Ronald | – | 46034.0 | 46036.0 | 3 | 159 | 1.0
Biometric Attendance,Sync Biometric with ERP,Ronald,Operations,At Risk,High,51852.0,28000.0,2025-05-25,2025-08-09,50.0,Operations | Admin/HR | Biometric Attendance | Sync Biometric with ERP | High | Overdue | Ronald | 51852.0 | 28000.0 | 23852 | 45802.0 | 45878.0 | 77 | 317 | 0.5
After sales service,Automated thank you for your purchase message to customers,Ronald,Operations,Ongoing,Low,0.0,0.0,2025-08-04,2025-08-05,0.0,Operations | Admin/HR | After sales service | Automated thank you for your purchase message to customers | Low | Ongoing | Ronald | 0.0 | 0.0 | 0 | 45873.0 | 45874.0 | 2 | 321 | 0.0
Customer Feedback Tracker,Create a doctype to track customer feedback,Newton,Operations,Planned,High,0.0,0.0,2025-08-18,2025-08-20,0.0,Operations | Admin/HR | Customer Feedback Tracker | Create a doctype to track customer feedback | High | Not Started | Newton | 0.0 | 0.0 | 0 | 45887.0 | 45889.0 | 3 | 306 | 0.0
CRM Discipline,Make CRM Workflow mandatory. Conduct refresher training,Ronald,Sales,Completed,Low,0.0,0.0,2025-08-01,2025-08-30,0.0,Sales | Sales | CRM Discipline | Make CRM Workflow mandatory. Conduct refresher training | Low | Finished | Ronald | 0.0 | 0.0 | 0 | 45870.0 | 45899.0 | 30 | 0 | 0.0
Quatation Flexibility,Create role-based pricing permissions or secondary price list,,Sales,Cancelled,High,0.0,0,,,,Sales | Sales | Quatation Flexibility | Create role-based pricing permissions or secondary price list | High | Terminated | 0.0 | 0.0 | 0 | – | 0.0
Stock Alerts,Enable real time alerts when stock is unavailable,Ronald,Sales,Ongoing,Medium,0.0,0.0,2025-08-06,2025-08-08,70.0,Sales | Sales | Stock Alerts | Enable real time alerts when stock is unavailable | Medium | Ongoing | Ronald | 0.0 | 0.0 | 0 | 45875.0 | 45877.0 | 3 | 318 | 0.7
Profit margin validation,Implement validation to restrict loss making deals,,Sales,Cancelled,Low,0.0,0,,,,Sales | Sales | Profit margin validation | Implement validation to restrict loss making deals | Low | Terminated | 0.0 | 0.0 | 0 | – | 0.0
Sales Dashboard,Create role based dashboard per sales person,Maina,Sales,Ongoing,High,0.0,0.0,2025-06-05,2025-08-30,30.0,Sales | Sales | Sales Dashboard | Create role based dashboard per sales person | High | Ongoing | Maina | 0.0 | 0.0 | 0 | 45813.0 | 45899.0 | 87 | 296 | 0.3
Sales Attribution,Use primary salesperson field across sales docs,Maina,Sales,Completed,Low,0.0,0.0,2025-07-07,2025-07-08,100.0,Sales | Sales | Sales Attribution | Use primary salesperson field across sales docs | Low | Finished | Maina | 0.0 | 0.0 | 0 | 45845.0 | 45846.0 | 2 | 0 | 1.0
Appointment & Site visits,Enforce appointment and site visit booking on CRM,Ronald,Sales,Completed,Critical,0.0,0.0,2025-04-30,2025-05-07,100.0,Sales | Sales | Appointment & Site visits | Enforce appointment and site visit booking on CRM | Extreme | Finished | Ronald | 0.0 | 0.0 | 0 | 45777.0 | 45784.0 | 8 | 0 | 1.0
Lead source tracking,Add lead source with all necessary socials and events for leads,Ronald,Sales,Planned,Low,0.0,0.0,2025-08-01,2025-08-01,0.0,Sales | Marketing | Lead source tracking | Add lead source with all necessary socials and events for leads | Low | Not Started | Ronald | 0.0 | 0.0 | 0 | 45870.0 | 45870.0 | 1 | 325 | 0.0
Marketing ROI Dashboard,Build dashboards showing cost vs leads per channel,Maina,Sales,At Risk,Medium,0.0,0.0,2025-06-05,2025-08-30,20.0,Sales | Marketing | Marketing ROI Dashboard | Build dashboards showing cost vs leads per channel | Medium | Paused | Maina | 0.0 | 0.0 | 0 | 45813.0 | 45899.0 | 87 | 296 | 0.2
Expo Lead Capture,Design QR/Tablet-based entry form at events,Ronald,Sales,Planned,Low,0.0,0.0,,,,Sales | Marketing | Expo Lead Capture | Design QR/Tablet-based entry form at events | Low | Not Started | Ronald | 0.0 | 0.0 | 0 | – | 0.0
Internal Material Request,Separate Internal Non stock request vs procurement/stores stock requests,Ronald,Operations,Completed,Medium,0.0,0.0,2025-07-14,2025-07-23,100.0,Operations | Stores | Internal Material Request | Separate Internal Non stock request vs procurement/stores stock requests | Medium | Finished | Ronald | 0.0 | 0.0 | 0 | 45852.0 | 45861.0 | 10 | 0 | 1.0
Reorder Level,Activate automated reordering,Ronald,Operations,Ongoing,High,0.0,0.0,,,,Operations | Stores | Reorder Level | Activate automated reordering | High | Ongoing | Ronald | 0.0 | 0.0 | 0 | – | 0.8
Item Categorization,Enforce naming standard and sorting,Ronald,Operations,Completed,Medium,0.0,0.0,2025-06-16,2025-06-20,100.0,Operations | Stores | Item Categorization | Enforce naming standard and sorting | Medium | Finished | Ronald | 0.0 | 0.0 | 0 | 45824.0 | 45828.0 | 5 | 0 | 1.0
Dashboard,Create stores dashboard,Maina,Operations,Planned,Medium,0.0,0.0,2025-06-05,2025-08-30,0.0,Operations | Stores | Dashboard | Create stores dashboard | Medium | Not Started | Maina | 0.0 | 0.0 | 0 | 45813.0 | 45899.0 | 87 | 296 | 0.0
Shipment tracker,ETA tracking on ERP,Ronald,Operations,Ongoing,Critical,0.0,0.0,2025-07-03,2025-08-30,20.0,Operations | Procurement | Shipment tracker | ETA tracking on ERP | Extreme | Ongoing | Ronald | 0.0 | 0.0 | 0 | 45841.0 | 45899.0 | 59 | 296 | 0.2
Daily Purchases,Daily purchases report on ERP,Maina,Operations,Planned,Medium,0.0,0,2025-08-14,,,Operations | Procurement | Daily Purchases | Daily purchases report on ERP | Medium | Not Started | Maina | 0.0 | 0 | 45871.0 | 45883.0 | 13 | 312 | 0.0
Procurement weekly spend,Weekly spend report,Maina,Operations,Planned,Low,0.0,0.0,2025-08-08,2025-08-30,0.0,Operations | Procurement | Procurement weekly spend | Weekly spend report | Low | Not Started | Maina | 0.0 | 0.0 | 0 | 45877.0 | 45899.0 | 23 | 296 | 0.0
PO Approval,Introduce a workflow for approval of different amounts,Ronald,Operations,Completed,Medium,,45852.0,,,,Operations | Procurement | PO Approval | Introduce a workflow for approval of different amounts | Medium | Finished | Ronald | – | 45852.0 | 45863.0 | 12 | 0 | 1.0
Supplier category,Supplier categorization and data clean up and sorting,Ronald,Operations,Completed,High,,45824.0,,,,Operations | Procurement | Supplier category | Supplier categorization and data clean up and sorting | High | Finished | Ronald | – | 45824.0 | 45828.0 | 5 | 0 | 1.0
Task & Timesheet,Train service on timesheets and tasks on erp,Ronald,Operations,Planned,High,0.0,0.0,2025-08-12,2025-09-30,0.0,Operations | Service | Task & Timesheet | Train service on timesheets and tasks on erp | High | Not Started | Ronald | 0.0 | 0.0 | 0.0 | 45881.0 | 45930.0 | 50 | 265 | 0.0
Site Report,Have the site report template on ERP,Ronald,Operations,Planned,Medium,,45876.0,,,,Operations | Service | Site Report | Have the site report template on ERP | Medium | Not Started | Ronald | – | 45876.0 | 45876.0 | 1 | 319
Service Dashboard,Service Dashboard with all projects and assigned to details,Maina,Operations,At Risk,Critical,,45873.0,,,,Operations | Service | Service Dashboard | Service Dashboard with all projects and assigned to details | Extreme | Paused | Maina | – | 45873.0 | 45878.0 | 6 | 317 | 0.25
M-Pesa Intergration,Mpesa c2b confirmation on erp,Ronald,Finance,Completed,High,50000.0,0.0,2025-05-01,2025-07-10,100.0,Finance | Finance | M-Pesa Intergration | Mpesa c2b confirmation on erp | High | Finished | Ronald | 50000.0 | 0.0 | 50000 | 45778.0 | 45848.0 | 71 | 0 | 1.0
Petty Cash,Create dedicated petty cash approval system,Maina,Finance,Completed,Critical,0.0,0.0,2025-07-31,2025-08-01,60.0,Finance | Finance | Petty Cash | Create dedicated petty cash approval system | Extreme | Finished | Maina | 0.0 | 0.0 | 0.0 | 45869.0 | 45870.0 | 2 | 0 | 0.6
Pay slip,Allow employees to access their slips via erp portal,Maina,Finance,At Risk,High,0.0,0.0,2025-08-04,2025-08-20,0.0,Finance | Finance | Pay slip | Allow employees to access their slips via erp portal | High | Paused | Maina | 0.0 | 0.0 | 0 | 45873.0 | 45889.0 | 17 | 306 | 0.0
Profitablitity Report,"Build report showing cost, revenue, margin per project",Maina,Finance,Planned,High,0.0,0.0,2025-09-01,2025-09-30,0.0,"Finance | Finance | Profitablitity Report | Build report showing cost, revenue, margin per project | High | Not Started | Maina | 0.0 | 0.0 | 0 | 45901.0 | 45930.0 | 30 | 265 | 0.0"
BOQ / Costing template,Develop a custom BOQ or a Doctype to do project costing,Maina,Finance,Planned,Medium,0.0,0.0,2025-09-01,2025-09-15,0.0,Finance | Finance | BOQ / Costing template | Develop a custom BOQ or a Doctype to do project costing | Medium | Not Started | Maina | 0.0 | 0.0 | 0 | 45901.0 | 45915.0 | 15 | 280 | 0.0
Finders Fee,Create a Doctype to track all finders fee on ERP,Ronald,Finance,Ongoing,Medium,0.0,0.0,2025-07-15,2025-07-25,70.0,Finance | Finance | Finders Fee | Create a Doctype to track all finders fee on ERP | Medium | Ongoing | Ronald | 0.0 | 0.0 | 0 | 45853.0 | 45863.0 | 11 | 332 | 0.7
CHEQUE REGISTER,Have the cheque register on ERP,Ronald,Finance,Completed,High,,45876.0,,,,Finance | Finance | CHEQUE REGISTER | Have the cheque register on ERP | High | Finished | Ronald | – | 45876.0 | 45876.0 | 1 | 0
Loan /Advance Approvals,Workflow for loan approvals,Ronald,Finance,Planned,Medium,,45884.0,,,,Finance | Finance | Loan /Advance Approvals | Workflow for loan approvals | Medium | Not Started | Ronald | – | 45884.0 | 45889.0 | 6 | 306
ESP Payments,ESP Payment approval workflows,Ronald,Finance,Completed,Low,0.0,0.0,2025-07-28,2025-07-30,95.0,Finance | Finance | ESP Payments | ESP Payment approval workflows | Low | Finished | Ronald | 0.0 | 0.0 | 0 | 45866.0 | 45868.0 | 3 | 0 | 0.95
Vehicle Booking,Track vehicle usage through vehicle requisition system on erp,Ronald,Operations,Completed,Critical,,46189.0,,,,Operations | Logistics | Vehicle Booking | Track vehicle usage through vehicle requisition system on erp | Extreme | Finished | Ronald | – | 46189.0 | 46190.0 | 2 | 0 | 1.0
Asset Masnagement,Create Asset tracker and Register all IT assets in ERPNext,Ronald,Operations,Planned,Critical,,45880.0,,,,Operations | IT | Asset Masnagement | Create Asset tracker and Register all IT assets in ERPNext | Extreme | Not Started | Ronald | – | 45880.0 | 45885.0 | 6 | 310 | 0.0
Tickets Issue,Implement helpdesk for assitance in IT related issues,Newton,Operations,Completed,High,,45749.0,,,,Operations | IT | Tickets Issue | Implement helpdesk for assitance in IT related issues | High | Finished | Newton | – | 45749.0 | 45790.0 | 42 | 0 | 1.0
Central Document Storage,Implement intergrated DMS with version control for future reference and storage,Ronald,Operations,Planned,Low,,45901.0,,,,Operations | IT | Central Document Storage | Implement intergrated DMS with version control for future reference and storage | Low | Not Started | Ronald | – | 45901.0 | 45930.0 | 30 | 265 | 0.0
ERPNext 2FA,Enforce 2FA for all,Ronald,Operations,Planned,Medium,,,,,,Operations | IT | ERPNext 2FA | Enforce 2FA for all | Medium | Not Started | Ronald | – | – | 0.0
Email Security,"Configure SPF, DKIM, DMARC on domain",Ronald,Operations,Completed,Critical,11500.0,0.0,2025-04-01,2025-04-05,100.0,"Operations | IT | Email Security | Configure SPF, DKIM, DMARC on domain | Extreme | Finished | Ronald | 11500.0 | 0.0 | 11500 | 45748.0 | 45752.0 | 5 | 0 | 1.0"
Password policy,Enforce complexity and expiry rules system-wide,Ronald,Operations,Ongoing,Critical,,45852.0,,,,Operations | IT | Password policy | Enforce complexity and expiry rules system-wide | Extreme | Ongoing | Ronald | – | 45852.0 | 45869.0 | 18 | 326 | 0.75
Security Logging,"Enable logs on ERP, routers and devices",Newton,Operations,Completed,Critical,,45810.0,,,,"Operations | IT | Security Logging | Enable logs on ERP, routers and devices | Extreme | Finished | Newton | – | 45810.0 | 45819.0 | 10 | 0 | 1.0"
Digital Literacy,Implement knowledge base inside ERP for reference and onboarding,Newton,Operations,Completed,Low,,45749.0,,,,Operations | IT | Digital Literacy | Implement knowledge base inside ERP for reference and onboarding | Low | Finished | Newton | – | 45749.0 | 45850.0 | 102 | 0 | 1.0
Website,Revamp and Launch,Newton,Operations,Completed,Critical,,45719.0,,,,Operations | IT | Website | Revamp and Launch | Extreme | Finished | Newton | – | 45719.0 | 45869.0 | 151 | 0 | 0.9
SMS Intergration,Automate sms message to clients,Ronald,Operations,Completed,Critical,,45887.0,,,,Operations | IT | SMS Intergration | Automate sms message to clients | Extreme | Finished | Ronald | – | 45887.0 | 45891.0 | 5 | 0 | 0.4
IT Dashboard,IT Activity dashboard on ERP,Ronald,Operations,Ongoing,Low,,,,,,Operations | IT | IT Dashboard | IT Activity dashboard on ERP | Low | Ongoing | Ronald | – | – | 0.0
